id,season,year,name,full_name,url,status,category,prize,country,city
3100,1992-1993,1993,German Open Snooker Ranking - Event 28 - 1 Star,1993 German Open Snooker Ranking - Event 28 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-28-1-star/1993/3100,Amateur,National Ranking,0.0,Germany,Gifhorn
3096,1992-1993,1993,German Open Snooker Ranking - Event 24 - 2 Star,1993 German Open Snooker Ranking - Event 24 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-24-2-star/1993/3096,Amateur,National Ranking,0.0,Germany,Giessen
3097,1992-1993,1993,German Open Snooker Ranking - Event 25 - 1 Star,1993 German Open Snooker Ranking - Event 25 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-25-1-star/1993/3097,Amateur,National Ranking,0.0,Germany,Duisburg
3095,1992-1993,1993,German Open Snooker Ranking - Event 22 - 2 Star,1993 German Open Snooker Ranking - Event 22 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-22-2-star/1993/3095,Amateur,National Ranking,0.0,Germany,Dornstadt
3094,1992-1993,1993,German Open Snooker Ranking - Event 23 - 2 Star,1993 German Open Snooker Ranking - Event 23 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-23-2-star/1993/3094,Amateur,National Ranking,0.0,Germany,Bielefeld
3093,1992-1993,1993,German Open Snooker Ranking - Event 21 - 3 Star - Aachen Open,1993 German Open Snooker Ranking - Event 21 - 3 Star - Aachen Open,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-21-3-star-aachen-open/1993/3093,Amateur,National Ranking,0.0,Germany,Aachen
3091,1992-1993,1993,German Open Snooker Ranking - Event 19 - 1 Star,1993 German Open Snooker Ranking - Event 19 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-19-1-star/1993/3091,Amateur,National Ranking,0.0,Germany,Bochum
3092,1992-1993,1993,German Open Snooker Ranking - Event 20 - 1 Star,1993 German Open Snooker Ranking - Event 20 - 1 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-20-1-star/1993/3092,Amateur,National Ranking,0.0,Germany,Hannover
3090,1992-1993,1993,German Open Snooker Ranking - Event 18 - 2 Star,1993 German Open Snooker Ranking - Event 18 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-18-2-star/1993/3090,Amateur,National Ranking,0.0,Germany,Munich
3089,1992-1993,1993,German Open Snooker Ranking - Event 17 - 2 Star,1993 German Open Snooker Ranking - Event 17 - 2 Star,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-17-2-star/1993/3089,Amateur,National Ranking,0.0,Germany,Dornstadt
1249,1993-1994,1993,Asian Championship,1993 Asian Championship,https://cuetracker.net/tournaments/asian-championship/1993/1249,Amateur,Continental Event,0.0,China,Beijing
1399,1993-1994,1993,Asian Under-21 Championship,1993 Asian Under-21 Championship,https://cuetracker.net/tournaments/asian-under-21-championship/1993/1399,Amateur,Continental Event,0.0,Pakistan,Unknown
2569,1992-1993,1993,Pontins Spring Open,1993 Pontins Spring Open,https://cuetracker.net/tournaments/pontins-spring-open/1993/2569,Pro-am,Event,0.0,Wales,Prestatyn
2050,1992-1993,1993,Scottish Amateur Championship,1993 Scottish Amateur Championship,https://cuetracker.net/tournaments/scottish-amateur-championship/1993/2050,Amateur,National Championship,0.0,Scotland,Glasgow
3088,1992-1993,1993,German Open Snooker Ranking - Event 16 - 4 Star - Gifhorn Open,1993 German Open Snooker Ranking - Event 16 - 4 Star - Gifhorn Open,https://cuetracker.net/tournaments/german-open-snooker-ranking-event-16-4-star-gifhorn-open/1993/3088,Amateur,National Ranking,0.0,Germany,Gifhorn
1165,1993-1994,1993,European Championships - Men,1993 European Championships - Men,https://cuetracker.net/tournaments/european-championships-men/1993/1165,Amateur,Continental Event,0.0,Finland,Helsinki
